Area;Major;Minor;Angle
1674;56.381;37.804;21.356
2209;57.15;49.214;38.197
2900;63.162;58.46;31.834
1462;51.006;36.495;138.805
3029;68.833;56.029;49.362
2108;57.667;46.543;82.896
1805;50.612;45.408;153.609
2156;55.741;49.247;162.025
2059;55.224;47.472;119.24
2119;57.68;46.775;119.841
451;25.388;22.618;21.573
1186;48.495;31.139;47.926
2959;71.431;52.743;108.928
3182;66.768;60.679;164.746
2351;62.606;47.813;47.318
2368;66.101;45.613;127.295
2761;62.898;55.891;40.086
1876;56.245;42.468;60.724
333;23.643;17.933;11.455
2256;62.128;46.234;21.851
1763;70.457;31.859;148.444
2556;62.878;51.757;160.257
3147;73.944;54.188;155.231
3858;74.865;65.614;168.902
1775;52.362;43.161;140.409
3380;67.374;63.875;12.899
2456;60.632;51.575;1.421
2915;76.953;48.231;23.87
1510;52.543;36.591;62.823
1660;49.039;43.1;27.153
1957;58.455;42.627;13.024
1509;46.428;41.383;76.629
2463;62.97;49.801;104.767
1475;53.075;35.384;174.392
2858;76.365;47.651;97.369
1243;49.417;32.026;0.271
2771;60.881;57.951;145.364
3046;75.321;51.49;46.536
1949;58.345;42.532;13.374
1507;46.379;41.371;76.979
2365;64.729;46.52;166.116
2905;65.517;56.455;87.106
1469;52.64;35.532;174.877
2868;76.32;47.846;97.346
2806;63.695;56.091;101.597
2841;68.394;52.889;18.422
1239;49.102;32.128;0.744
2775;60.921;57.997;145.065
2021;61.786;41.647;147.804
1374;43.428;40.283;58.546
2107;63.114;42.506;165.138
2877;65.359;56.046;87.008
1468;52.645;35.504;174.865
2805;63.763;56.011;101.72
2835;68.431;52.749;17.636
1235;49.236;31.937;0.125
2762;60.69;57.945;151.204
2020;61.653;41.717;147.538
1346;42.97;39.883;59.896
2100;63.221;42.293;165.267
3934;72.714;68.885;124.287
1715;49.178;44.402;100.966
116;18.202;8.114;125.951
3508;76.149;58.655;82.119
1734;52.818;41.8;133.469
2354;59.028;50.776;2.217
2278;58.553;49.535;64.86
2129;58.839;46.07;106.564
2316;58.498;50.409;57.359
1492;55.799;34.045;133.823
2802;68.694;51.935;28.762
2369;59.285;50.878;2.153
2319;58.816;50.201;56.108
1489;55.933;33.895;133.92
2778;68.461;51.665;36.22
3201;71.426;57.061;34.644
2381;62.015;48.884;77.46
2277;59.062;49.087;88.828
2347;59.382;50.324;55.682
2772;68.437;51.572;37.212
1659;50.565;41.774;109.989
3196;71.281;57.087;34.803
3723;76.806;61.718;114.776
3148;71.402;56.135;157.779
1901;49.555;48.843;11.267
2321;62.759;47.088;176.326
1801;53.974;42.486;61.698
2904;67.836;54.506;27.516
3167;71.513;56.387;157.713
1908;49.639;48.94;19.285
2320;62.877;46.979;176.112
2386;57.629;52.716;93.172
1171;47.018;31.711;162.603
2806;65.658;54.414;7.448
2472;61.026;51.576;6.988
113;15.176;9.48;8.48
1346;43.922;39.018;16.153
1375;51.277;34.142;105.233
302;26.729;14.386;104.722
1247;52.317;30.348;17.274
2253;59.075;48.559;94.196
1334;47.897;35.462;128.989
1115;47.721;29.749;95.214
3280;73.293;56.98;43.539
2255;56.091;51.188;147.851
1226;44.479;35.095;74.871
3685;79.511;59.009;33.788
2445;62.224;50.03;8.321
