Area;Major;Minor;Angle
2121;52.882;51.067;23.333
2334;62.922;47.229;15.962
2142;60.32;45.214;164.506
2289;59.521;48.965;134.669
3168;64.986;62.069;123.047
3274;75.171;55.455;150.426
2369;66.151;45.598;73.868
2516;60.409;53.03;178.726
1653;52.602;40.011;118.454
3636;79.844;57.982;73.762
2770;66.081;53.372;86.609
2820;69.096;51.964;147.044
3564;94.039;48.255;17.304
2946;68.557;54.713;101.446
2506;64.384;49.558;5.412
