Area;Major;Minor;Angle
1830;53.36;43.666;122.262
2742;79.623;43.847;33.918
2126;59.538;45.465;147.131
3557;75.374;60.086;8.784
1559;50.399;39.385;55.749
1393;50.17;35.352;75.682
2338;72.09;41.293;35.525
2755;64.701;54.215;155.547
1684;55.106;38.909;96.743
2370;65.203;46.28;59.962
1911;65.464;37.168;9.954
2145;58.444;46.73;33.765
3186;68.22;59.463;83.206
1977;68.837;36.567;146.797
1869;57.905;41.096;7.604
1994;60.357;42.064;175.352
1756;53.249;41.987;87.27
3497;74.913;59.436;156.056
3152;67.644;59.329;117.668
2224;69.455;40.77;93.916
3593;77.289;59.19;27.729
2373;63.364;47.683;127.094
2754;65.628;53.43;82.255
2547;66.485;48.777;153.872
2771;63.353;55.69;33.876
2026;59.904;43.062;103.395
2885;72.825;50.44;141.921
1752;51.635;43.201;171.226
2172;54.824;50.443;0.382
2235;60.553;46.995;84.394
2049;59.843;43.595;102.709
3499;77.445;57.526;90.87
3014;63.936;60.022;55.809
2296;60.78;48.098;40.147
1743;51.635;42.98;170.987
2172;55.028;50.256;0.8
3112;73.531;53.887;20.519
2844;72.475;49.963;112.376
3492;77.526;57.35;89.933
3202;73.06;55.802;171.136
3050;64.518;60.191;57.822
2743;69.726;50.089;95.775
2298;61.083;47.9;40.697
3121;73.695;53.922;20.246
2177;67.898;40.823;4.213
3389;78.793;54.764;165.804
3187;72.751;55.776;172.238
2763;69.908;50.322;95.176
3255;75.399;54.966;47.255
2206;68.063;41.267;4.722
3369;78.704;54.502;165.995
3708;72.312;65.289;173.796
2385;63.601;47.746;25.328
2457;64.69;48.359;128.222
2131;55.956;48.489;21.356
1463;52.646;35.383;160.404
1665;48.027;44.141;135.69
2273;55.308;52.327;35.397
2416;70.889;43.394;144.834
3191;72.916;55.72;172.031
2761;69.852;50.326;95.143
3261;75.509;54.988;46.725
3557;105.702;42.846;154.998
2944;61.887;60.568;26.088
2691;65.99;51.921;86.192
2964;74.033;50.976;73.579
3247;74.434;55.542;86.789
1856;56.911;41.523;74.879
1761;50.448;44.446;4.17
2100;52.882;50.562;72.857
2668;64.09;53.004;159.983
2306;59.535;49.317;117.454
2214;60.688;46.45;143.448
2026;59.226;43.555;2.291
3442;73.108;59.945;77.393
1460;50.564;36.764;167.061
2868;61.486;59.39;111.352
2299;63.598;46.026;148.63
2986;74.916;50.749;150.522
1458;49.628;37.406;148.662
3860;91.171;53.906;118.086
2283;57.007;50.99;17.823
2078;52.539;50.359;72.767
2667;64.241;52.859;160.639
2270;59.272;48.762;116.74
2212;60.805;46.319;143.509
